Frame,Scheme,Cluster,Size,# all fragments,# protein fragments,# waters,Charge,Reactant IRC,dGact (kcal/mol),dGrxn (kcal/mol),TS path,TS method,TS E,TS E+ZPE,TS E+thrm E,TS H,TS G,TS Nbasis,TS Nimag,TS G kcal/mol,irc1 path,irc1 method,irc1 E,irc1 E+ZPE,irc1 E+thrm E,irc1 H,irc1 G,irc1 Nbasis,irc1 Nimag,irc1 G kcal/mol,irc2 path,irc2 method,irc2 E,irc2 E+ZPE,irc2 E+thrm E,irc2 H,irc2 G,irc2 Nbasis,irc2 Nimag,irc2 G kcal/mol
101,S2,random1,202,16,10,6,0,irc1,7.93,-16.18,/project/dwappett/CM-MD-250-set/opts/S2_random1/f101/ts-101/,E(RB3LYP),-4123.465206,-4121.761162,-4121.672685,-4121.671741,-4121.885771,1139,NImag=1,-2586524.54,/project/dwappett/CM-MD-250-set/opts/S2_random1/f101/ts-101/irc1,E(RB3LYP),-4123.481666,-4121.775601,-4121.687159,-4121.686214,-4121.89841,1139,NImag=0,-2586532.471,/project/dwappett/CM-MD-250-set/opts/S2_random1/f101/ts-101/irc2,E(RB3LYP),-4123.505308,-4121.798931,-4121.709911,-4121.708967,-4121.924198,1139,NImag=0,-2586548.653
146,S6,active2cluster4,183,16,9,7,-1,irc2,11.77,-12,/project/dwappett/CM-MD-250-set/opts/S6_active2cluster4/f146/ts-146/,E(RB3LYP),-3836.794422,-3835.261271,-3835.179506,-3835.178562,-3835.377562,1042,NImag=1,-2406737.774,/project/dwappett/CM-MD-250-set/opts/S6_active2cluster4/f146/ts-146/irc2,E(RB3LYP),-3836.81309,-3835.278379,-3835.196199,-3835.195255,-3835.396321,1042,NImag=0,-2406749.545,/project/dwappett/CM-MD-250-set/opts/S6_active2cluster4/f146/ts-146/irc1,E(RB3LYP),-3836.833815,-3835.298364,-3835.216174,-3835.21523,-3835.415445,1042,NImag=0,-2406761.546
159,S8,rincluster1,187,17,10,7,-1,irc1,13.79,-15.04,/project/dwappett/CM-MD-250-set/opts/S8_rincluster1/f159/ts-159/,E(RB3LYP),-4274.308795,-4272.746306,-4272.662567,-4272.661623,-4272.864339,1073,NImag=1,-2681265.101,/project/dwappett/CM-MD-250-set/opts/S8_rincluster1/f159/ts-159/irc1,E(RB3LYP),-4274.329203,-4272.765638,-4272.681296,-4272.680352,-4272.886317,1073,NImag=0,-2681278.893,/project/dwappett/CM-MD-250-set/opts/S8_rincluster1/f159/ts-159/irc2,E(RB3LYP),-4274.355857,-4272.790724,-4272.706416,-4272.705471,-4272.910283,1073,NImag=0,-2681293.932
161,S7,activecluster4,173,16,9,7,-1,irc2,12.5,-16.45,/project/dwappett/CM-MD-250-set/opts/S7_activecluster4/f161/ts-161/,E(RB3LYP),-3568.644875,-3567.183788,-3567.104697,-3567.103753,-3567.298922,975,NImag=1,-2238515.747,/project/dwappett/CM-MD-250-set/opts/S7_activecluster4/f161/ts-161/irc2,E(RB3LYP),-3568.665212,-3567.202122,-3567.122762,-3567.121817,-3567.318838,975,NImag=0,-2238528.244,/project/dwappett/CM-MD-250-set/opts/S7_activecluster4/f161/ts-161/irc1,E(RB3LYP),-3568.694894,-3567.230092,-3567.151131,-3567.150187,-3567.345056,975,NImag=0,-2238544.696
174,S5,cluster3qm,199,19,11,8,-1,irc1,8.82,-12.02,/project/dwappett/CM-MD-250-set/opts/S5_cluster3qm/f174/ts-174/,E(RB3LYP),-4468.694053,-4467.019282,-4466.929743,-4466.928799,-4467.144247,1130,NImag=1,-2803177.686,/project/dwappett/CM-MD-250-set/opts/S5_cluster3qm/f174/ts-174/irc1,E(RB3LYP),-4468.708629,-4467.032142,-4466.942065,-4466.941121,-4467.158304,1130,NImag=0,-2803186.507,/project/dwappett/CM-MD-250-set/opts/S5_cluster3qm/f174/ts-174/irc2,E(RB3LYP),-4468.726678,-4467.050317,-4466.95964,-4466.958696,-4467.177458,1130,NImag=0,-2803198.527
183,S7,activecluster4,200,18,12,6,-1,irc2,12.27,-13.03,/project/dwappett/CM-MD-250-set/opts/S7_activecluster4/f183/ts-183/,E(RB3LYP),-4523.812433,-4522.135515,-4522.048469,-4522.047525,-4522.256114,1146,NImag=1,-2837760.934,/project/dwappett/CM-MD-250-set/opts/S7_activecluster4/f183/ts-183/irc2,E(RB3LYP),-4523.829599,-4522.151901,-4522.064007,-4522.063062,-4522.275666,1146,NImag=0,-2837773.203,/project/dwappett/CM-MD-250-set/opts/S7_activecluster4/f183/ts-183/irc1,E(RB3LYP),-4523.854545,-4522.174603,-4522.087262,-4522.086318,-4522.296426,1146,NImag=0,-2837786.23
198,S7,activecluster4,196,16,10,6,-1,irc2,10.14,-16.46,/project/dwappett/CM-MD-250-set/opts/S7_activecluster4/f198/ts-198/,E(RB3LYP),-4086.280455,-4084.639013,-4084.551956,-4084.551012,-4084.762548,1115,NImag=1,-2563229.346,/project/dwappett/CM-MD-250-set/opts/S7_activecluster4/f198/ts-198/irc2,E(RB3LYP),-4086.298379,-4084.654783,-4084.567641,-4084.566696,-4084.778705,1115,NImag=0,-2563239.485,/project/dwappett/CM-MD-250-set/opts/S7_activecluster4/f198/ts-198/irc1,E(RB3LYP),-4086.32475,-4084.680664,-4084.593328,-4084.592384,-4084.804934,1115,NImag=0,-2563255.944
220,S7,activecluster4,206,20,12,8,-1,irc2,8.65,-17.72,/project/dwappett/CM-MD-250-set/opts/S7_activecluster4/f220/ts-220/,E(RB3LYP),-4676.682466,-4674.953644,-4674.861547,-4674.860602,-4675.078171,1182,NImag=1,-2933658.303,/project/dwappett/CM-MD-250-set/opts/S7_activecluster4/f220/ts-220/irc2,E(RB3LYP),-4676.698752,-4674.967584,-4674.875543,-4674.874599,-4675.091963,1182,NImag=0,-2933666.958,/project/dwappett/CM-MD-250-set/opts/S7_activecluster4/f220/ts-220/irc1,E(RB3LYP),-4676.724473,-4674.994169,-4674.901326,-4674.900382,-4675.120199,1182,NImag=0,-2933684.676
227,S7,activecluster4,196,18,12,6,-1,irc1,9.92,-19.13,/project/dwappett/CM-MD-250-set/opts/S7_activecluster4/f227/ts-227/,E(RB3LYP),-4086.294287,-4084.645762,-4084.55786,-4084.556916,-4084.769,1115,NImag=1,-2563233.395,/project/dwappett/CM-MD-250-set/opts/S7_activecluster4/f227/ts-227/irc1,E(RB3LYP),-4086.312284,-4084.661319,-4084.573352,-4084.572408,-4084.784808,1115,NImag=0,-2563243.315,/project/dwappett/CM-MD-250-set/opts/S7_activecluster4/f227/ts-227/irc2,E(RB3LYP),-4086.34453,-4084.6924,-4084.604754,-4084.60381,-4084.815298,1115,NImag=0,-2563262.448
232,S4,random5a,192,17,10,7,-1,irc2,10.44,-11.56,/project/dwappett/CM-MD-250-set/opts/S4_random5a/f232/ts-232/,E(RB3LYP),-3954.72593,-3953.108196,-3953.021636,-3953.020692,-3953.229953,1081,NImag=1,-2480691.328,/project/dwappett/CM-MD-250-set/opts/S4_random5a/f232/ts-232/irc2,E(RB3LYP),-3954.745104,-3953.12499,-3953.038424,-3953.037479,-3953.246589,1081,NImag=0,-2480701.767,/project/dwappett/CM-MD-250-set/opts/S4_random5a/f232/ts-232/irc1,E(RB3LYP),-3954.760405,-3953.141142,-3953.053558,-3953.052614,-3953.265009,1081,NImag=0,-2480713.326
